,Winery,Points_Mean,Price_Mean,Points_Median,Price_Median,Total_Reviews,N_Varieties,Varieties,Country,Province,Region
0,'37 Cellars,88.0,,88.0,,1,1,['Cabernet Sauvignon'],US,Washington,"['Columbia Valley (WA)', 'Columbia Valley']"
1,1+1=3,85.5,16.3,86.0,16.0,10,3,"['Rosé', 'Cabernet Sauvignon', 'Sparkling Blend']",Spain,Catalonia,['Penedès']
2,10 Knots,84.4,23.3,84.0,22.0,11,7,"['Grenache', 'Rhône-style White Blend', 'Chardonnay', 'White Blend', 'Rosé', 'Viognier', 'Rhône-style Red Blend']",US,California,"['Paso Robles', 'Central Coast']"
3,100 Percent Wine,86.3,18.0,86.0,18.0,3,3,"['Moscato', 'Sauvignon Blanc', 'Red Blend']",US,California,"['California', 'California Other']"
4,1000 Stories,90.5,19.0,90.5,19.0,2,1,['Zinfandel'],US,California,"['California', 'California Other']"
5,1040FU,82.0,25.0,82.0,25.0,1,1,['Syrah'],US,California,"['Santa Barbara County', 'Central Coast']"
6,1070 Green,88.0,25.0,88.0,25.0,1,1,['Sauvignon Blanc'],US,California,"['Rutherford', 'Napa']"
7,10Span,83.4,12.6,83.0,13.0,5,3,"['Pinot Noir', 'Pinot Gris', 'Chardonnay']",US,California,"['Santa Barbara County', 'Central Coast']"
8,12 Linajes,89.0,26.7,89.0,25.0,11,2,"['Tempranillo', 'Verdejo']",Spain,Northern Spain,['Ribera del Duero']
9,12C Wines,92.6,92.6,93.0,95.0,5,1,['Cabernet Sauvignon'],US,California,"['Rutherford', 'Napa']"
10,13 Celsius,87.0,15.0,87.0,15.0,1,1,['Sauvignon Blanc'],New Zealand,Marlborough,[]
11,14 Hands,87.5,18.3,87.0,12.0,71,20,"['Chardonnay', 'Sauvignon Blanc', 'Sparkling Blend', 'Pinot Gris', 'Red Blend', 'Malbec', 'Syrah', 'Cabernet Sauvignon', 'Merlot', 'White Blend', 'Riesling', 'Moscato', 'Rhône-style Red Blend', 'Viognier', 'Rosé', 'Gewürztraminer', 'Cabernet Franc', 'Grenache', 'Cabernet Franc-Merlot', 'Bordeaux-style Red Blend']",US,Washington,"['Horse Heaven Hills', 'Columbia Valley']"
12,16X20,85.5,40.0,85.5,40.0,2,2,"['Cabernet Sauvignon', 'Chardonnay']",US,California,"['Napa Valley', 'Napa']"
13,1752 Signature Wines,88.0,20.0,88.0,20.0,1,1,['Rosé'],France,Provence,['Côtes de Provence']
14,1789 Wines,91.0,48.0,91.0,48.0,1,1,['Pinot Noir'],US,Oregon,"['Chehalem Mountains', 'Willamette Valley']"
15,181,84.0,15.0,84.0,15.0,1,1,['Merlot'],US,California,"['Lodi', 'Central Valley']"
16,18401 Cellars,92.0,75.0,92.0,75.0,2,2,"['Cabernet Sauvignon', 'Bordeaux-style Red Blend']",US,Oregon,"['Walla Walla Valley (OR)', 'Oregon Other']"
17,18401 Cellars,91.5,75.0,91.5,75.0,2,2,"['Bordeaux-style Red Blend', 'Cabernet Sauvignon']",US,Washington,"['Walla Walla Valley (WA)', 'Columbia Valley']"
18,1848 Winery,89.7,48.3,89.0,45.0,3,2,"['Red Blend', 'Cabernet Merlot']",Israel,Galilee,[]
19,1848 Winery,89.3,25.0,89.0,25.0,3,3,"['Cabernet Sauvignon-Merlot', 'Cabernet Sauvignon', 'Chardonnay']",Israel,Judean Hills,[]
20,1850,89.8,25.0,91.0,26.0,4,4,"['Zinfandel', 'Rosé', 'Viognier', 'Sangiovese']",US,California,"['Amador County', 'Sierra Foothills']"
21,19 Crimes,83.0,14.0,83.0,14.0,1,1,['Red Blend'],Australia,Australia Other,['South Eastern Australia']
22,1912 Winemakers,90.1,,90.0,,7,2,"['Portuguese White', 'Portuguese Red']",Portugal,Douro,[]
23,1919,83.0,10.0,83.0,10.0,3,3,"['Cabernet Sauvignon', 'Syrah', 'Malbec']",Argentina,Mendoza Province,['Mendoza']
24,2 Brothers,82.0,9.0,82.0,9.0,1,1,['Syrah'],Chile,Colchagua Valley,[]
25,2 Brothers,82.0,12.0,82.0,12.0,1,1,['Riesling'],Germany,Mosel-Saar-Ruwer,[]
26,2 Brothers,84.0,9.0,84.0,9.0,1,1,['White Blend'],Germany,Nahe,[]
27,2 Cocky Sisters,85.5,10.5,85.5,10.5,2,1,['Red Blend'],US,California,"['Paso Robles', 'Central Coast']"
28,2 Copas,81.0,8.0,81.0,8.0,1,1,['Red Blend'],Argentina,Mendoza Province,['Mendoza']
29,2 Lads,86.4,41.2,87.0,36.5,5,4,"['Cabernet Franc-Merlot', 'Pinot Noir', 'Pinot Grigio', 'Cabernet Franc']",US,Michigan,['Old Mission Peninsula']
30,2 Up,86.2,14.5,87.0,14.5,4,1,['Shiraz'],Australia,South Australia,['South Australia']
31,21 Grams,92.5,125.0,92.5,125.0,2,1,['Bordeaux-style Red Blend'],US,Washington,"['Washington', 'Washington Other']"
32,24 Knots,82.0,17.0,82.0,17.0,1,1,['Pinot Noir'],US,California,"['California', 'California Other']"
33,240 Days,86.5,28.0,86.5,28.0,2,2,"['Riesling', 'Rosé']",US,New York,"['Finger Lakes', 'Finger Lakes']"
34,25 Lagunas,81.0,10.0,81.0,10.0,1,1,['Cabernet Sauvignon'],Argentina,Other,['San Juan']
35,2820 Wine Co.,84.3,27.3,85.0,22.0,3,3,"['Zinfandel', 'Bordeaux-style Red Blend', 'Merlot']",US,California,"['Napa Valley', 'Napa']"
36,29 & Oak Wines,88.8,57.0,90.0,45.0,5,4,"['Cabernet Sauvignon', 'Red Blend', 'Zinfandel', 'Bordeaux-style Red Blend']",US,California,"['Napa Valley', 'Napa']"
37,2Hawk,87.7,31.8,87.5,30.0,6,5,"['Viognier', 'Cabernet Franc', 'Tempranillo', 'Pinot Noir', 'Bordeaux-style Red Blend']",US,Oregon,"['Rogue Valley', 'Southern Oregon']"
38,2Plank,88.3,37.2,89.5,38.0,6,5,"['Viognier-Chardonnay', 'Zinfandel', 'Grenache-Syrah', 'Viognier', 'Cabernet Sauvignon']",US,California,"['California', 'California Other']"
39,2nd Chance,87.5,32.0,88.5,30.5,4,2,"['Syrah', 'Pinot Noir']",US,California,"['Santa Maria Valley', 'Central Coast']"
40,3 Badge Beverage,84.0,30.0,84.0,30.0,1,1,['Chardonnay'],US,California,"['Russian River Valley', 'Sonoma']"
41,3 Ball,88.0,15.0,88.0,15.0,1,1,['Zinfandel'],US,California,"['California', 'California Other']"
42,3 Hills High,87.3,19.3,87.0,20.0,3,3,"['Riesling', 'Sauvignon Blanc', 'Red Blend']",Australia,South Australia,['South Australia']
43,3 Horse Ranch Vineyards,87.0,26.5,87.0,26.5,2,2,"['Bordeaux-style Red Blend', 'White Blend']",US,America,[]
44,3 Horse Ranch Vineyards,86.1,20.8,87.0,19.0,26,12,"['Cabernet Sauvignon', 'Syrah', 'Cabernet Sauvignon-Merlot', 'Merlot', 'Chardonnay', 'Bordeaux-style Red Blend', 'White Blend', 'Pinot Gris', 'Rosé', 'Syrah-Mourvèdre', 'Red Blend', 'Sangiovese']",US,Idaho,[]
45,3 Horse Ranch Vineyards,87.5,23.2,87.5,23.0,4,4,"['Bordeaux-style Red Blend', 'Cabernet Sauvignon', 'Merlot-Cabernet Franc', 'Merlot']",US,Washington,"['Washington', 'Washington Other']"
46,3 Rings,90.2,23.7,90.0,20.0,6,2,"['Shiraz', 'Cabernet Sauvignon']",Australia,South Australia,['Barossa Valley']
47,3 Spells,81.0,26.0,81.0,26.0,1,1,['Red Blend'],US,California,"['Napa Valley', 'Napa']"
48,3 Steves Winery,83.6,26.8,84.0,24.0,5,4,"['Chardonnay', 'Zinfandel', 'Merlot', 'Cabernet Sauvignon']",US,California,"['Livermore Valley', 'Central Coast']"
49,3 Stones,88.5,14.5,88.5,14.5,2,1,['Sauvignon Blanc'],New Zealand,Marlborough,[]
50,3 Trees,87.0,15.0,87.0,15.0,1,1,['Pinot Noir'],Australia,South Australia,['South Australia']
51,3000 BC,86.0,10.0,86.0,10.0,1,1,['Chenin Blanc'],South Africa,Stellenbosch,[]
52,31st State,83.0,10.0,83.0,10.0,1,1,['Pinot Noir'],US,California,"['California', 'California Other']"
53,32 Winds,88.2,46.5,86.5,44.0,4,2,"['Pinot Noir', 'Chardonnay']",US,California,"['Sonoma Coast', 'Sonoma']"
54,337 Wine Cellars,87.0,15.0,87.0,15.0,2,1,['Cabernet Sauvignon'],US,California,"['California', 'California Other']"
55,39°,85.5,11.5,85.5,11.5,2,2,"['Sauvignon Blanc', 'Petite Sirah']",US,California,"['Lake County', 'Mendocino/Lake Counties']"
56,3CV,86.2,19.0,86.5,18.0,6,3,"['Viognier', 'Red Blend', 'Sauvignon Blanc']",US,California,"['Happy Canyon of Santa Barbara', 'Central Coast']"
57,3Fools,83.8,19.5,84.0,22.0,4,3,"['Gewürztraminer', 'Pinot Noir', 'Red Blend']",US,Oregon,"['Willamette Valley', 'Willamette Valley']"
58,4 Bears,84.0,15.0,84.0,15.0,1,1,['Cabernet Sauvignon'],US,California,"['Napa Valley', 'Napa']"
59,4 Cellars,87.0,25.0,87.0,25.0,2,2,"['Chardonnay', 'Red Blend']",US,Washington,"['Columbia Valley (WA)', 'Columbia Valley']"
60,401K,84.7,15.0,85.0,15.0,3,2,"['Cabernet Sauvignon', 'Chardonnay']",US,California,"['California', 'California Other']"
61,428 Wines,85.0,34.0,85.0,34.0,1,1,['Red Blend'],US,Washington,"['Columbia Valley (WA)', 'Columbia Valley']"
62,42°S,87.5,18.7,87.5,18.0,4,3,"['Chardonnay', 'Champagne Blend', 'Pinot Noir']",Australia,Tasmania,['Tasmania']
63,460 Casina Bric,87.7,56.7,88.0,60.0,3,1,['Nebbiolo'],Italy,Piedmont,['Barolo']
64,4R4U,87.0,6.0,87.0,6.0,1,1,['Verdejo'],Spain,Northern Spain,['Rueda']
65,5 Points Cellars,85.3,49.3,85.0,45.0,3,3,"['Cabernet Sauvignon', 'Syrah', 'Chardonnay']",US,California,"['Oakville', 'Napa']"
66,50 Harvests,89.5,50.0,89.5,50.0,2,2,"['Cabernet Sauvignon', 'Meritage']",US,California,"['Napa Valley', 'Napa']"
67,5OS Project,89.0,25.0,89.0,25.0,4,4,"['Montepulciano', 'Malbec', 'White Blend', 'Shiraz-Viognier']",Australia,South Australia,['South Australia']
68,6 North,89.2,49.4,90.0,52.0,5,2,"['Cabernet Sauvignon', 'Zinfandel']",US,California,"['Napa Valley', 'Napa']"
69,6 Under,88.0,23.0,88.0,24.0,4,4,"['Chardonnay', 'Pinot Gris', 'Red Blend', 'Cabernet Sauvignon']",US,Washington,"['Washington', 'Washington Other']"
70,60 North,85.0,10.0,85.0,10.0,1,1,['Merlot'],US,California,"['California', 'California Other']"
71,60 Souls,85.0,25.0,85.0,25.0,1,1,['Pinot Noir'],US,Oregon,"['Willamette Valley', 'Willamette Valley']"
72,6cepas6,87.0,21.0,87.0,21.0,2,1,['Tempranillo'],Spain,Northern Spain,['Rioja']
73,6th Sense,82.0,16.0,82.0,16.0,1,1,['Syrah'],US,California,"['Lodi', 'Central Valley']"
74,7 Heavenly Chards,83.3,17.0,82.0,17.0,3,1,['Chardonnay'],US,California,"['Lodi', 'Central Valley']"
75,7 Lunas,90.0,55.0,90.0,55.0,1,1,['Tempranillo'],Spain,Northern Spain,['Ribera del Duero']
76,7 Peaks,86.0,11.0,86.0,11.0,1,1,['Pinot Noir'],US,California,"['California', 'California Other']"
77,75 Wine Co.,87.7,16.0,87.0,14.0,3,2,"['Sauvignon Blanc', 'Red Blend']",US,California,"['North Coast', 'North Coast']"
78,786 Wines,86.0,13.0,86.0,13.0,3,3,"['Chardonnay', 'Cabernet Sauvignon', 'Merlot']",US,California,"['California', 'California Other']"
79,8 Chains North,87.5,31.0,87.5,31.0,2,2,"['Merlot', 'Red Blend']",US,Virginia,['Virginia']
80,868 Estate,85.0,24.5,85.0,24.5,2,2,"['Red Blend', 'Chardonnay']",US,Virginia,['Virginia']
81,9 Mile Road,88.0,14.8,88.5,15.0,6,2,"['Shiraz', 'Cabernet Sauvignon']",Australia,South Australia,['Langhorne Creek']
82,:Nota Bene,88.5,30.9,88.0,30.0,72,10,"['Cabernet Sauvignon', 'Syrah', 'Bordeaux-style Red Blend', 'Rhône-style Red Blend', 'Mourvèdre', 'Merlot', 'Malbec', 'Cabernet Franc', 'Red Blend', 'Chardonnay']",US,Washington,"['Yakima Valley', 'Columbia Valley']"
83,A Blooming Hill Vineyard,86.9,23.9,87.0,22.0,9,3,"['Pinot Noir', 'Pinot Gris', 'White Blend']",US,Oregon,"['Chehalem Mountains', 'Willamette Valley']"
84,A By Acacia,85.0,13.0,85.0,13.0,2,2,"['Chardonnay', 'Pinot Noir']",US,California,"['Carneros', 'Napa-Sonoma']"
85,A Cellar Full of Noise,84.0,18.0,84.0,18.0,1,1,['Tempranillo'],US,California,"['Paso Robles', 'Central Coast']"
86,A Coroa,90.0,28.5,90.0,28.5,2,1,['Godello'],Spain,Northern Spain,['Valdeorras']
87,A Donkey and Goat,87.9,32.9,88.0,34.5,8,2,"['Syrah', 'Chardonnay']",US,California,"['McDowell Valley', 'Mendocino/Lake Counties']"
88,A Fuga,84.0,12.0,84.0,12.0,1,1,['Mencía'],Spain,Galicia,['Ribeira Sacra']
89,A to Z,87.8,15.5,88.0,14.5,40,7,"['Riesling', 'Rosé', 'Pinot Noir', 'Chardonnay', 'Pinot Gris', 'Red Blend', 'Pinot Blanc']",US,Oregon,"['Oregon', 'Oregon Other']"
90,A-Mano,85.0,11.0,85.0,11.0,2,1,['Pinot Grigio'],Italy,Northeastern Italy,['Delle Venezie']
91,A-Mano,85.8,10.7,86.0,11.0,4,2,"['Primitivo', 'White Blend']",Italy,Southern Italy,['Puglia']
92,A-Mano,86.0,12.0,86.0,12.0,1,1,['Garganega'],Italy,Veneto,['Soave']
93,A. Christmann,88.2,39.1,89.0,35.0,11,2,"['Riesling', 'Spätburgunder']",Germany,Pfalz,[]
94,A. D. Coutelas,89.4,57.0,90.0,55.0,5,2,"['Champagne Blend', 'Chardonnay']",France,Champagne,['Champagne']
95,A. Faustini,87.2,62.5,87.0,62.5,4,1,['Cabernet Sauvignon'],US,California,"['Napa Valley', 'Napa']"
96,A. Margaine,89.5,58.5,89.5,58.5,2,1,['Champagne Blend'],France,Champagne,['Champagne']
97,A. Parparoussis,84.3,29.0,84.0,25.0,3,2,"['Red Blend', 'White Blend']",Greece,Achaia,[]
98,A. Parparoussis,85.0,23.0,85.0,23.0,1,1,['Sideritis'],Greece,Greece,[]
99,A. Parparoussis,85.0,50.0,85.0,50.0,2,1,['Red Blend'],Greece,Nemea,[]
100,A. de Luze et Fils,85.5,14.0,85.5,14.0,2,2,"['Bordeaux-style Red Blend', 'Sauvignon Blanc']",France,Bordeaux,['Bordeaux Supérieur']
101,A.A. Badenhorst Family Wines,90.0,29.5,90.0,29.5,2,2,"['Red Blend', 'White Blend']",South Africa,Coastal Region,[]
102,A.A. Badenhorst Family Wines,91.0,32.8,91.5,43.0,6,4,"['Red Blend', 'Rosé', 'Rhône-style Red Blend', 'Shiraz']",South Africa,Swartland,[]
103,A.P. Vin,87.0,50.0,86.5,48.0,8,1,['Pinot Noir'],US,California,"['Sta. Rita Hills', 'Central Coast']"
104,A.R. Lenoble ,90.6,55.0,90.5,54.0,14,3,"['Chardonnay', 'Pinot Noir', 'Champagne Blend']",France,Champagne,['Champagne']
105,A.S. Kiken,84.5,51.0,84.5,44.5,4,2,"['Red Blend', 'Bordeaux-style Red Blend']",US,California,"['Diamond Mountain District', 'Napa']"
106,A.T. Richardson,88.0,21.3,87.0,22.0,3,2,"['Riesling', 'Shiraz']",Australia,Victoria,['Grampians']
107,A2O,88.0,22.0,88.0,22.0,1,1,['Albariño'],Spain,Galicia,['Rías Baixas']
108,AJB Vineyards,90.0,21.0,90.0,21.0,1,1,['Syrah'],US,California,"['Paso Robles', 'Central Coast']"
109,AVA Grace Vineyards,86.2,11.2,86.0,12.0,4,3,"['Chardonnay', 'Rosé', 'Merlot']",US,California,"['California', 'California Other']"
110,AZS,92.0,75.0,92.0,75.0,1,1,['Cabernet Sauvignon'],US,California,"['Napa Valley', 'Napa']"
111,Aaldering,87.0,54.0,87.0,54.0,1,1,['Shiraz'],South Africa,Stellenbosch,[]
112,Aalto,95.0,105.0,95.0,105.0,1,1,['Tinto del Pais'],Spain,Northern Spain,['Ribera del Duero']
113,Aaron,91.7,40.0,91.0,44.0,3,2,"['Petite Sirah', 'Rhône-style Red Blend']",US,California,"['Paso Robles', 'Central Coast']"
114,Abacela,88.5,24.9,88.0,22.0,99,18,"['Rosé', 'Albariño', 'Tempranillo', 'Tannat', 'Red Blend', 'Malbec', 'Syrah', 'Claret', 'Garnacha', 'Dolcetto', 'Merlot', 'Cabernet Franc', 'Viognier', 'Grenache', 'Petit Verdot', 'Tinta Amarela', 'Muscat', 'Graciano']",US,Oregon,"['Umpqua Valley', 'Southern Oregon']"
115,Abad,83.5,15.0,84.0,14.5,4,3,"['Red Blend', 'Godello', 'Mencía']",Spain,Northern Spain,['Bierzo']
116,Abad Dom Bueno,87.5,21.5,88.0,24.0,17,2,"['Godello', 'Mencía']",Spain,Northern Spain,['Bierzo']
117,Abadia Retuerta,88.1,78.5,88.0,100.0,23,10,"['Tempranillo', 'Cabernet Sauvignon', 'Syrah', 'Petite Verdot', 'Tempranillo Blend', 'Red Blend', 'Tempranillo-Cabernet Sauvignon', 'Petit Verdot', 'Cabernet Sauvignon-Tempranillo', 'White Blend']",Spain,Northern Spain,['Vino de la Tierra de Castilla y León']
118,Abadía da Cova,86.5,21.5,86.5,22.5,4,3,"['Red Blend', 'Albariño', 'Mencía']",Spain,Galicia,['Ribeira Sacra']
119,Abadía de Acón,90.0,22.0,90.0,22.0,1,1,['Tempranillo'],Spain,Northern Spain,['Ribera del Duero']
120,Abadía de Tortoreos,86.7,19.0,88.0,19.0,3,1,['Albariño'],Spain,Galicia,['Rías Baixas']
121,Abadía la Arroyada,85.0,18.0,85.0,18.0,2,1,['Tempranillo'],Spain,Northern Spain,['Ribera del Duero']
122,Abandon,83.0,18.0,83.0,18.0,1,1,['Chardonnay'],US,California,"['Carneros', 'Napa-Sonoma']"
123,Abarbanel,84.3,22.0,85.0,23.0,3,3,"['Gewürztraminer', 'Pinot Blanc', 'Champagne Blend']",France,Alsace,['Alsace']
124,Abarbanel,82.0,15.0,82.0,15.0,1,1,['Gamay'],France,Beaujolais,['Beaujolais-Villages']
125,Abarbanel,82.4,11.8,83.0,11.0,5,3,"['Merlot', 'Syrah', 'Chardonnay']",France,Languedoc-Roussillon,['Languedoc']
126,Abarbanel,81.0,20.0,81.0,20.0,1,1,['Prosecco'],Italy,Veneto,['Prosecco']
127,Abbadia Ardenga,91.1,47.9,91.0,48.0,14,2,"['Sangiovese', 'Sangiovese Grosso']",Italy,Tuscany,['Brunello di Montalcino']
128,Abbaye De Tholomies,87.0,17.0,87.0,17.0,1,1,['Red Blend'],France,Languedoc-Roussillon,['Minervois']
129,Abbaye Sylva Plana,90.0,29.0,90.0,29.0,1,1,['Rhône-style Red Blend'],France,Languedoc-Roussillon,['Faugères']
130,Abbaye de Saint-Ferme,86.5,25.0,86.5,25.0,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux Supérieur']
131,Abbaye de Valmagne,87.0,,87.0,,1,1,['Rhône-style Red Blend'],France,Languedoc-Roussillon,['Vin de Pays des Collines de la Moure']
132,Abbazia Monte Oliveto,86.0,15.7,86.0,15.0,3,1,['Vernaccia'],Italy,Tuscany,['Vernaccia di San Gimignano']
133,Abbazia Santa Anastasia,87.6,33.9,87.0,26.0,29,7,"['Cabernet Sauvignon', 'Red Blend', 'White Blend', ""Nero d'Avola"", 'Sauvignon Blanc', 'Grillo', 'Inzolia']",Italy,Sicily & Sardinia,['Sicilia']
134,Abbazia di Novacella,89.4,25.2,89.0,20.5,64,15,"['Pinot Grigio', 'Kerner', 'Sauvignon', 'Sylvaner', 'Lagrein', 'Pinot Nero', 'Grüner Veltliner', 'Moscato', 'Riesling', 'Veltliner', 'Gewürztraminer', 'Müller-Thurgau', 'Silvaner', 'Schiava', 'Moscato Rosa']",Italy,Northeastern Italy,['Alto Adige']
135,Abbey Creek,87.5,26.0,87.5,26.0,2,1,['Pinot Noir'],US,Oregon,"['Willamette Valley', 'Willamette Valley']"
136,Abbey Vale,85.2,13.2,85.5,14.0,4,2,"['Chardonnay', 'Verdelho']",Australia,Western Australia,['Margaret River']
137,Abbey of Saint-Hilaire,87.0,22.0,87.0,22.0,1,1,['Pinot Noir'],France,Languedoc-Roussillon,"[""Vin de Pays d'Oc""]"
138,Abbeyville,84.0,13.3,84.0,13.0,3,2,"['Chardonnay', 'Fumé Blanc']",US,California,"['North Coast', 'North Coast']"
139,Abbona Marziano,89.5,79.0,89.5,79.0,2,1,['Nebbiolo'],Italy,Piedmont,['Barolo']
140,Abbot's Passage,91.5,72.5,91.5,72.5,2,2,"['Cabernet Sauvignon', 'Rhône-style Red Blend']",US,California,"['Moon Mountain District Sonoma County', 'Sonoma']"
141,Abbotts,89.0,23.7,88.0,19.0,3,3,"['Shiraz', 'White Blend', 'Rhône-style Red Blend']",France,Languedoc-Roussillon,['Minervois']
142,Abbotts Delaunay,88.0,22.0,88.0,22.0,1,1,['Carignan'],France,France Other,['Vin de France']
143,Abeja,92.4,41.9,93.0,38.0,47,5,"['Chardonnay', 'Cabernet Sauvignon', 'Merlot', 'Viognier', 'Syrah']",US,Washington,"['Washington', 'Washington Other']"
144,Abel Mendoza,90.0,44.0,90.0,44.0,2,1,['Tempranillo'],Spain,Northern Spain,['Rioja']
145,Abelis Carthago,90.2,31.7,90.0,27.0,6,2,"['Tempranillo', 'Tinta de Toro']",Spain,Northern Spain,['Toro']
146,Aberrant Cellars,91.2,40.4,91.0,35.0,9,1,['Pinot Noir'],US,Oregon,"['Willamette Valley', 'Willamette Valley']"
147,Abiouness,89.5,37.5,89.5,37.5,2,1,['Pinot Noir'],US,California,"['Carneros', 'Napa-Sonoma']"
148,Abiqua Wind,86.4,14.9,86.0,15.0,9,6,"['Pinot Gris', 'Muscat', 'Pinot Noir', 'Müller-Thurgau', 'Gewürztraminer', 'White Blend']",US,Oregon,"['Willamette Valley', 'Willamette Valley']"
149,Abraham Perold,94.0,155.0,94.0,155.0,1,1,['Shiraz'],South Africa,Paarl,[]
150,Abraxas,90.6,44.2,92.0,47.5,5,2,"['Zibibbo', 'Red Blend']",Italy,Sicily & Sardinia,['Passito di Pantelleria']
151,Abrazo,84.2,7.0,84.0,6.5,5,3,"['Garnacha', 'Tempranillo-Garnacha', 'Syrah']",Spain,Northern Spain,['Cariñena']
152,Acacia,88.7,45.9,88.0,46.0,47,3,"['Pinot Noir', 'Chardonnay', 'Champagne Blend']",US,California,"['Los Carneros', 'Napa-Sonoma']"
153,Acaibo,92.0,75.0,92.0,75.0,1,1,['Bordeaux-style Red Blend'],US,California,"['Sonoma County', 'Sonoma']"
154,Accadia,86.7,17.7,86.0,18.0,3,1,['Verdicchio'],Italy,Central Italy,['Verdicchio dei Castelli di Jesi Classico Superiore']
155,Accordini Igino,89.8,38.5,89.5,35.0,4,1,['Red Blend'],Italy,Veneto,['Valpolicella Classico Superiore']
156,Acentor,85.5,13.0,85.5,13.0,2,1,['Garnacha'],Spain,Northern Spain,['Calatayud']
157,Achaia Clauss,90.0,13.0,90.0,13.0,1,1,['Rosé'],Greece,Achaia,[]
158,Achaia Clauss,83.3,9.9,83.0,10.0,9,4,"['White Blend', 'Rosé', 'Red Blend', 'Agiorgitiko']",Greece,Greece,[]
159,Achaia Clauss,86.5,11.0,86.5,11.0,2,1,['Mavrodaphne'],Greece,Mavrodaphne of Patras,[]
160,Achaia Clauss,85.5,11.0,85.5,11.0,2,1,['Muscat'],Greece,Muscat of Patras,[]
161,Achaia Clauss,83.0,11.5,83.0,11.5,2,2,"['Agiorgitiko', 'Red Blend']",Greece,Nemea,[]
162,Achaia Clauss,84.0,10.7,85.0,10.0,3,2,"['Red Blend', 'White Blend']",Greece,Patras,[]
163,Achaia Clauss,87.0,16.5,87.0,16.5,2,2,"['Mavrodaphne', 'Moschofilero']",Greece,Peloponnese,[]
164,Achaval-Ferrer,90.3,90.5,91.0,112.0,25,5,"['Malbec', 'Bordeaux-style Red Blend', 'Red Blend', 'Cabernet Sauvignon', 'Malbec-Cabernet Sauvignon']",Argentina,Mendoza Province,['Luján de Cuyo']
165,Acinum,88.3,34.0,87.0,34.0,3,2,"['Red Blend', 'Glera']",Italy,Veneto,['Amarone della Valpolicella']
166,Ackerly Pond,83.3,21.0,83.0,20.0,3,2,"['Merlot', 'Cabernet Franc']",US,New York,"['North Fork of Long Island', 'Long Island']"
167,Ackerman,85.5,20.0,85.5,20.0,2,1,['Sparkling Blend'],France,Loire Valley,['Crémant de Loire']
168,Ackerman,86.8,75.0,87.0,75.0,4,1,['Cabernet Sauvignon'],US,California,"['Napa Valley', 'Napa']"
169,Ackerman Family Vineyards,89.0,62.5,89.0,62.5,2,2,"['Cabernet Sauvignon', 'Cabernet Sauvignon-Sangiovese']",US,California,"['Coombsville', 'Napa']"
170,Aconcagua,83.0,15.0,83.0,15.0,4,3,"['Malbec', 'Chardonnay-Semillon', 'Syrah']",Argentina,Mendoza Province,['Mendoza']
171,Aconga,83.0,9.5,83.0,9.5,4,4,"['Chenin Blanc-Chardonnay', 'Malbec-Cabernet Sauvignon', 'Red Blend', 'Cabernet Sauvignon-Malbec']",Argentina,Mendoza Province,['Mendoza']
172,Acordeón,84.1,9.1,84.0,9.0,7,4,"['Chardonnay', 'Malbec', 'Syrah', 'Cabernet Sauvignon']",Argentina,Mendoza Province,['Tupungato']
173,Acordeón,83.0,9.0,82.5,9.0,4,1,['Torrontés'],Argentina,Other,['Cafayate']
174,Acorex,82.3,18.3,82.0,16.0,3,3,"['Sparkling Blend', 'Cabernet Sauvignon-Merlot', 'Sauvignon Blanc']",Moldova,Moldova,[]
